timestamp,mains_voltage_rms_v,mains_total_power_w,mains_current_rms_a,mains_power_factor,frequency_hz,cumulative_energy_kwh,cumulative_cost_inr,ac_power_w,fridge_power_w,tv_power_w,pc_power_w,lights_power_w,fan_power_w,washing_machine_power_w,geyser_power_w
2026-03-24T00:00:00Z,230.12,1061.3,4.83,0.955,49.95,0.0177,0.14,854.1,139.3,1.4,2.8,0.0,63.7,0.0,0.0
2026-03-24T00:01:00Z,230.41,1232.1,5.55,0.964,50.01,0.0382,0.31,1011.5,149.3,1.3,2.6,0.0,67.4,0.0,0.0
2026-03-24T00:02:00Z,229.96,1250.2,5.63,0.965,49.97,0.0591,0.47,1024.4,153.8,1.6,2.6,0.0,67.8,0.0,0.0
2026-03-24T00:03:00Z,230.34,1321.2,5.94,0.966,49.97,0.0811,0.65,1113.2,137.7,1.2,3.2,0.0,65.9,0.0,0.0
2026-03-24T00:04:00Z,230.05,1353.8,6.14,0.959,50.0,0.1036,0.83,1134.7,150.9,1.6,3.5,0.0,63.1,0.0,0.0
2026-03-24T00:05:00Z,229.82,1225.3,5.55,0.961,49.97,0.1241,0.99,1009.0,149.1,1.3,3.5,0.0,62.4,0.0,0.0
2026-03-24T00:06:00Z,229.7,1293.7,5.84,0.964,49.96,0.1456,1.17,1087.7,141.6,1.7,2.6,0.0,60.1,0.0,0.0
2026-03-24T00:07:00Z,230.71,1284.7,5.83,0.955,50.0,0.167,1.34,1065.1,152.0,1.2,2.8,0.0,63.6,0.0,0.0
2026-03-24T00:08:00Z,229.53,1114.6,5.04,0.964,49.95,0.1856,1.48,917.9,136.1,1.6,3.2,0.0,55.8,0.0,0.0
2026-03-24T00:09:00Z,230.07,1191.6,5.42,0.956,50.05,0.2055,1.64,972.4,150.2,1.7,3.2,0.0,64.1,0.0,0.0
2026-03-24T00:10:00Z,230.8,1156.8,5.25,0.954,50.03,0.2248,1.8,947.9,136.7,1.3,3.3,0.0,67.6,0.0,0.0
2026-03-24T00:11:00Z,229.43,1224.2,5.6,0.952,50.02,0.2452,1.96,1008.3,145.8,1.6,2.7,0.0,65.8,0.0,0.0
2026-03-24T00:12:00Z,230.5,1211.5,5.42,0.969,49.96,0.2653,2.12,1008.4,137.2,1.3,3.0,0.0,61.6,0.0,0.0
2026-03-24T00:13:00Z,230.54,1290.5,5.88,0.952,49.98,0.2869,2.29,1069.5,153.2,1.4,3.4,0.0,63.0,0.0,0.0
2026-03-24T00:14:00Z,231.07,1239.6,5.58,0.961,49.97,0.3075,2.46,1028.5,142.1,1.5,2.6,0.0,64.9,0.0,0.0
2026-03-24T00:15:00Z,230.2,1347.4,6.06,0.966,49.95,0.33,2.64,1134.8,141.7,1.5,3.5,0.0,65.9,0.0,0.0
2026-03-24T00:16:00Z,230.68,1233.9,5.52,0.969,50.04,0.3505,2.8,1027.1,146.3,1.3,2.8,0.0,56.4,0.0,0.0
2026-03-24T00:17:00Z,229.93,1254.2,5.7,0.957,49.98,0.3714,2.97,1034.3,148.5,1.6,2.6,0.0,67.2,0.0,0.0
2026-03-24T00:18:00Z,229.95,1094.6,4.97,0.958,50.03,0.3897,3.12,897.7,136.0,1.2,2.6,0.0,57.1,0.0,0.0
2026-03-24T00:19:00Z,230.33,1334.0,5.98,0.969,49.98,0.4119,3.3,1122.2,142.8,1.3,3.0,0.0,64.7,0.0,0.0
2026-03-24T00:20:00Z,229.82,1124.2,5.07,0.964,50.02,0.4307,3.45,1046.9,13.7,1.2,3.2,0.0,59.2,0.0,0.0
2026-03-24T00:21:00Z,231.02,1007.7,4.53,0.962,49.95,0.4475,3.58,936.4,11.4,1.2,3.1,0.0,55.6,0.0,0.0
2026-03-24T00:22:00Z,230.92,1138.5,5.12,0.963,49.97,0.4664,3.73,1056.1,11.4,1.5,3.0,0.0,66.5,0.0,0.0
2026-03-24T00:23:00Z,230.34,1050.0,4.76,0.957,49.99,0.4839,3.87,967.8,13.4,1.5,3.1,0.0,64.2,0.0,0.0
